String Art Instructions
======================

Parameters:
- Total Nails: 200
- Shape: circle
- Output Size: 800px
- String Strength: 0.1
- Max Iterations: 2000
- Random Nails: 100
- White Background: False

Quadrant Layout:
- Blue: 12 o'clock (indices 150-199)
- Red: 3 o'clock (indices 0-49)
- Green: 6 o'clock (indices 50-99)
- Yellow: 9 o'clock (indices 100-149)

Instructions (2000 total):
==================================================
   1. Red 1 -> Yellow 12
   2. Yellow 12 -> Blue 49
   3. Blue 49 -> Yellow 9
   4. Yellow 9 -> Blue 47
   5. Blue 47 -> Yellow 13
   6. Yellow 13 -> Red 3
   7. Red 3 -> Yellow 4
   8. Yellow 4 -> Blue 44
   9. Blue 44 -> Yellow 7
  10. Yellow 7 -> Blue 47
  11. Blue 47 -> Yellow 6
  12. Yellow 6 -> Red 7
  13. Red 7 -> Yellow 8
  14. Yellow 8 -> Blue 50
  15. Blue 50 -> Green 49
  16. Green 49 -> Blue 49
  17. Blue 49 -> Yellow 13
  18. Yellow 13 -> Red 30
  19. Red 30 -> Yellow 49
  20. Yellow 49 -> Red 45
  21. Red 45 -> Yellow 50
  22. Yellow 50 -> Red 46
  23. Red 46 -> Blue 1
  24. Blue 1 -> Red 39
  25. Red 39 -> Yellow 48
  26. Yellow 48 -> Red 41
  27. Red 41 -> Blue 3
  28. Blue 3 -> Red 50
  29. Red 50 -> Blue 2
  30. Blue 2 -> Red 48
  31. Red 48 -> Blue 1
  32. Blue 1 -> Red 38
  33. Red 38 -> Yellow 47
  34. Yellow 47 -> Red 42
  35. Red 42 -> Blue 4
  36. Blue 4 -> Red 40
  37. Red 40 -> Yellow 47
  38. Yellow 47 -> Red 35
  39. Red 35 -> Yellow 49
  40. Yellow 49 -> Red 39
  41. Red 39 -> Yellow 46
  42. Yellow 46 -> Red 36
  43. Red 36 -> Yellow 48
  44. Yellow 48 -> Red 47
  45. Red 47 -> Yellow 49
  46. Yellow 49 -> Red 46
  47. Red 46 -> Blue 8
  48. Blue 8 -> Green 22
  49. Green 22 -> Blue 10
  50. Blue 10 -> Green 21
  51. Green 21 -> Blue 6
  52. Blue 6 -> Green 8
  53. Green 8 -> Blue 7
  54. Blue 7 -> Green 21
  55. Green 21 -> Blue 11
  56. Blue 11 -> Green 24
  57. Green 24 -> Blue 9
  58. Blue 9 -> Green 28
  59. Green 28 -> Blue 12
  60. Blue 12 -> Green 20
  61. Green 20 -> Blue 8
  62. Blue 8 -> Green 23
  63. Green 23 -> Blue 5
  64. Blue 5 -> Red 44
  65. Red 44 -> Yellow 50
  66. Yellow 50 -> Red 41
  67. Red 41 -> Blue 5
  68. Blue 5 -> Green 6
  69. Green 6 -> Blue 6
  70. Blue 6 -> Red 39
  71. Red 39 -> Blue 2
  72. Blue 2 -> Green 1
